customer_id,gender,senior_citizen,partner,dependents,tenure,contract,internet_service,phone_service,multiple_lines,online_security,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,monthly_charges,total_charges,churn
C100000,Male,0,1,0,31,One year,Fiber optic,1,1,0,0,0,1,0,1,Bank transfer (automatic),81.48,2605.59,0
C100001,Female,0,1,0,9,Two year,Fiber optic,1,1,0,0,0,1,1,0,Mailed check,78.13,684.21,0
C100002,Male,1,0,0,8,Month-to-month,DSL,1,1,1,0,1,1,1,1,Electronic check,73.91,575.78,1
C100003,Male,0,0,0,9,Month-to-month,DSL,1,0,0,1,0,1,0,1,Electronic check,54.46,441.82,0
C100004,Female,0,1,0,17,One year,DSL,1,1,1,0,1,1,1,1,Electronic check,81.03,1367.83,0
C100005,Male,1,1,1,10,One year,None,1,1,0,0,0,0,0,1,Electronic check,31.5,374.04,0
C100006,Male,0,1,1,2,Month-to-month,Fiber optic,1,1,1,0,0,1,0,1,Electronic check,81.52,204.7,1
C100007,Male,0,1,0,17,Two year,DSL,1,0,0,0,0,1,1,1,Credit card (automatic),66.39,1103.28,1
C100008,Female,0,1,0,3,Two year,Fiber optic,1,1,0,0,1,0,0,1,Electronic check,71.52,198.38,1
C100009,Female,0,1,1,19,One year,Fiber optic,1,0,0,1,0,1,1,0,Credit card (automatic),75.67,1423.43,0
C100010,Female,0,1,0,8,Two year,Fiber optic,1,1,0,1,0,0,0,0,Credit card (automatic),76.53,584.94,0
C100011,Male,1,1,0,45,One year,Fiber optic,1,0,0,0,0,1,0,1,Electronic check,74.9,3382.13,1
C100012,Male,0,1,1,16,One year,Fiber optic,1,0,0,0,1,0,1,0,Credit card (automatic),84.02,1381.42,0
C100013,Male,0,0,0,39,Month-to-month,DSL,1,0,1,1,0,0,0,1,Electronic check,60.55,2476.71,0
C100014,Female,0,0,0,2,Month-to-month,Fiber optic,0,0,0,0,0,0,1,1,Bank transfer (automatic),62.37,125.34,0
C100015,Female,0,0,0,4,Month-to-month,DSL,1,0,0,0,0,1,1,1,Credit card (automatic),65.39,296.34,1
C100016,Male,0,1,0,11,One year,DSL,1,1,0,0,1,1,1,1,Credit card (automatic),72.09,742.53,0
C100017,Female,0,1,0,25,One year,Fiber optic,1,0,1,1,1,0,0,1,Electronic check,77.84,1951.34,1
C100018,Male,0,0,1,15,Month-to-month,Fiber optic,1,0,0,0,0,0,0,1,Electronic check,62.01,922.37,1
C100019,Male,0,1,1,14,One year,None,0,0,0,0,0,0,0,1,Electronic check,21.33,331.94,0
C100020,Male,0,0,0,15,Month-to-month,DSL,0,0,0,1,0,1,0,1,Credit card (automatic),52.42,810.86,0
C100021,Female,0,0,1,23,Month-to-month,Fiber optic,1,0,0,0,0,0,1,1,Electronic check,71.18,1671.57,1
C100022,Male,1,1,1,3,Two year,None,1,1,0,0,0,0,0,1,Mailed check,30.29,83.96,0
C100023,Male,1,0,0,1,Month-to-month,Fiber optic,1,0,1,1,0,1,1,1,Electronic check,80.59,63.44,0
C100024,Male,0,0,1,22,Month-to-month,None,0,0,0,0,0,0,0,1,Electronic check,17.33,321.24,1
C100025,Female,0,1,1,3,Month-to-month,None,1,0,0,0,0,0,0,1,Mailed check,26.81,90.86,0
C100026,Female,0,0,1,4,Month-to-month,None,1,0,0,0,0,0,0,1,Electronic check,28.02,107.15,0
C100027,Female,0,1,1,26,One year,None,1,0,0,0,0,0,0,0,Mailed check,27.7,788.54,0
C100028,Female,0,1,0,11,Two year,Fiber optic,1,0,1,1,1,0,0,0,Mailed check,86.58,944.24,0
C100029,Male,0,1,0,30,One year,Fiber optic,0,0,0,1,1,0,0,1,Mailed check,61.05,1804.55,1
C100030,Male,0,1,1,12,One year,None,0,0,0,0,0,0,0,0,Mailed check,15.0,208.47,0
C100031,Male,1,0,1,10,Month-to-month,None,1,1,0,0,0,0,0,1,Electronic check,35.09,282.27,1
C100032,Female,0,1,0,2,One year,DSL,1,0,0,0,0,0,1,1,Bank transfer (automatic),55.09,124.66,1
C100033,Female,0,0,0,2,Month-to-month,DSL,1,1,1,1,0,1,1,0,Mailed check,87.29,143.47,0
C100034,Female,0,0,0,26,Month-to-month,DSL,1,0,1,0,1,1,0,1,Mailed check,67.49,1693.92,0
C100035,Female,0,1,1,3,Two year,None,1,1,0,0,0,0,0,1,Electronic check,39.48,125.04,1
C100036,Female,0,0,0,7,Month-to-month,DSL,1,0,0,0,0,1,0,1,Electronic check,57.15,280.63,0
C100037,Female,0,1,0,13,Month-to-month,DSL,1,0,1,1,1,0,0,0,Credit card (automatic),63.96,860.26,0
C100038,Female,0,0,0,19,Month-to-month,Fiber optic,1,1,0,0,0,0,0,0,Credit card (automatic),67.33,1283.65,0
C100039,Male,0,1,0,26,Two year,DSL,1,0,1,0,1,0,1,1,Electronic check,65.75,1679.44,0
C100040,Female,0,0,1,3,Month-to-month,None,1,0,0,0,0,0,0,1,Electronic check,25.49,123.82,0
C100041,Male,0,0,0,34,Month-to-month,Fiber optic,1,1,1,0,0,1,1,1,Electronic check,86.81,2976.87,0
C100042,Male,0,1,0,6,Two year,DSL,1,1,1,0,1,0,1,1,Bank transfer (automatic),72.58,371.87,0
C100043,Female,0,1,0,61,Month-to-month,DSL,1,1,1,1,1,0,1,1,Electronic check,76.93,4722.15,1
C100044,Male,0,1,1,2,Two year,Fiber optic,1,1,1,0,0,0,0,1,Credit card (automatic),76.09,177.66,0
C100045,Male,0,0,0,2,Month-to-month,Fiber optic,1,0,1,1,0,0,1,1,Electronic check,77.94,133.75,1
C100046,Female,0,1,0,5,One year,Fiber optic,1,1,1,1,0,0,0,1,Credit card (automatic),90.08,439.29,0
C100047,Female,0,1,0,3,Two year,DSL,1,1,0,1,1,0,1,1,Electronic check,69.53,290.65,0
C100048,Male,0,1,1,2,Month-to-month,None,1,0,0,0,0,0,0,1,Electronic check,31.21,83.0,1
C100049,Female,0,1,1,72,One year,Fiber optic,1,0,1,0,0,0,0,1,Electronic check,76.31,5433.02,0
C100050,Female,0,0,1,5,Month-to-month,Fiber optic,1,1,0,1,0,1,0,1,Electronic check,76.34,388.13,0
C100051,Female,0,1,0,1,One year,Fiber optic,1,1,1,0,0,0,0,0,Credit card (automatic),74.11,0.0,0
C100052,Male,0,1,1,3,Two year,None,1,0,0,0,0,0,0,1,Mailed check,39.18,143.4,0
C100053,Male,0,1,1,34,One year,Fiber optic,1,1,0,1,0,0,1,1,Electronic check,83.29,2803.75,0
C100054,Male,0,1,0,0,Two year,Fiber optic,1,0,0,1,1,1,0,0,Credit card (automatic),83.97,0.0,0
C100055,Male,0,1,1,41,One year,None,0,0,0,0,0,0,0,1,Electronic check,18.14,697.52,0
C100056,Female,0,1,1,4,One year,None,1,1,0,0,0,0,0,1,Electronic check,32.95,115.44,0
C100057,Male,0,0,1,7,Month-to-month,Fiber optic,1,0,0,1,0,0,1,1,Electronic check,70.62,506.24,1
C100058,Female,0,1,1,66,One year,Fiber optic,1,0,0,0,0,1,0,0,Mailed check,82.01,5380.28,0
C100059,Female,0,1,0,19,Two year,Fiber optic,1,1,0,0,1,0,1,0,Credit card (automatic),78.76,1458.84,0
C100060,Male,0,1,0,35,One year,Fiber optic,1,0,0,0,0,1,0,1,Electronic check,65.25,2287.93,0
C100061,Female,0,0,0,10,Month-to-month,DSL,1,1,0,0,0,1,1,1,Bank transfer (automatic),74.88,733.53,0
C100062,Male,0,1,0,0,Month-to-month,Fiber optic,1,1,1,1,0,1,0,1,Electronic check,82.67,0.0,0
C100063,Male,0,1,0,7,One year,Fiber optic,1,1,1,0,0,1,0,1,Electronic check,85.53,564.6,0
C100064,Male,0,1,0,6,Two year,DSL,1,1,1,1,0,1,1,1,Bank transfer (automatic),81.37,440.85,0
C100065,Male,0,0,1,14,Month-to-month,None,1,1,0,0,0,0,0,0,Bank transfer (automatic),40.19,556.25,0
C100066,Male,0,0,0,10,Month-to-month,DSL,1,1,0,0,0,1,0,0,Mailed check,55.03,586.46,1
C100067,Female,0,0,1,19,Month-to-month,None,1,1,0,0,0,0,0,1,Electronic check,36.88,697.16,0
C100068,Female,0,0,0,6,Month-to-month,DSL,0,0,1,0,0,1,0,1,Electronic check,46.57,264.33,1
C100069,Female,0,1,0,11,Two year,DSL,1,1,1,0,0,1,0,0,Bank transfer (automatic),67.29,668.83,0
C100070,Female,0,0,0,19,Month-to-month,DSL,1,0,1,0,1,0,0,1,Mailed check,63.29,1178.74,0
C100071,Female,0,1,0,9,Month-to-month,Fiber optic,1,0,1,0,0,0,1,0,Mailed check,68.43,589.09,1
C100072,Male,1,0,0,8,Month-to-month,Fiber optic,1,0,1,0,0,0,1,1,Electronic check,74.8,602.7,0
C100073,Female,0,0,0,27,Month-to-month,DSL,0,0,1,1,0,1,1,1,Bank transfer (automatic),58.27,1575.58,0
C100074,Female,0,1,0,18,Two year,Fiber optic,1,0,0,0,0,1,0,1,Electronic check,72.81,1426.88,1
C100075,Female,0,1,0,24,Month-to-month,Fiber optic,1,1,0,0,1,0,1,0,Bank transfer (automatic),75.41,1791.89,0
C100076,Female,0,0,0,19,Month-to-month,DSL,1,0,1,0,1,1,1,1,Bank transfer (automatic),76.41,1492.08,0
C100077,Male,0,0,0,2,Month-to-month,DSL,1,1,1,0,1,0,0,1,Electronic check,62.76,167.17,0
C100078,Male,0,1,0,9,Two year,DSL,1,1,1,1,0,1,1,1,Mailed check,77.73,730.95,0
C100079,Male,0,1,0,10,Two year,DSL,1,1,0,0,0,0,0,1,Mailed check,56.15,561.84,0
C100080,Male,0,0,0,14,Month-to-month,DSL,1,0,0,1,1,0,1,0,Mailed check,51.04,841.04,1
C100081,Female,0,1,1,41,One year,Fiber optic,1,0,1,0,1,1,0,0,Credit card (automatic),75.66,3059.62,1
C100082,Male,0,0,0,9,Month-to-month,Fiber optic,1,0,0,0,0,0,1,0,Mailed check,79.29,737.9,0
C100083,Female,0,1,1,10,One year,None,1,1,0,0,0,0,0,1,Electronic check,28.85,324.73,1
C100084,Female,0,0,1,5,Month-to-month,Fiber optic,1,0,0,0,0,0,0,1,Electronic check,59.73,216.43,1
C100085,Female,0,1,0,36,Two year,Fiber optic,1,0,0,0,1,0,0,0,Bank transfer (automatic),67.2,2348.62,0
C100086,Male,0,1,0,44,Two year,DSL,1,0,0,1,1,0,0,1,Electronic check,61.9,2785.52,0
C100087,Female,0,0,0,27,Month-to-month,DSL,1,1,0,1,1,0,0,1,Bank transfer (automatic),56.07,1528.87,1
C100088,Female,0,1,0,10,Month-to-month,Fiber optic,1,0,0,0,1,1,1,1,Electronic check,81.68,759.37,0
C100089,Male,0,0,0,25,Month-to-month,DSL,1,0,1,1,0,0,0,1,Electronic check,65.11,1688.41,1
